"operateur","mos_dl_moy","longitude","latitude"
"FREE",407,"2.58174",4871105
"Bouygues",384,"0.21909",4738789
"Bouygues",351,"-2.28579",4808332
"FREE",378,"-4.04338",4817729
"Bouygues",442,"1.94675",4568030
"Orange",348,"-4.10101",4799646
"Bouygues",394,"-2.16125",4763831
"SFR",441,"0.21085",4563527
"FREE",374,"7.06213",4877351
"Bouygues",383,"1.60417",4776235
"FREE",444,"-0.87423",4705444
"FREE",377,"3.28958",4985782
"Bouygues",394,"4.44759",4679455
"FREE",376,"1.03347",4779300
"Bouygues",443,"-0.59145",4482402
"FREE",419,"4.32913",4549225
"FREE",414,"-1.19088",4816755
"Orange",304,"2.40230",4459926
"Orange",420,"6.15942",4309373
"Orange",446,"2.26630",4884097
"Orange",378,"4.82065",4394945
"Bouygues",373,"7.11737",4357626
"Bouygues",393,"3.54243",5034944
