"Profil/terminal:

2G/3G/4G
2G/3G/4G/5G
","
Lieu/strate:

Toutes zones d'habitation
Zones denses
Zones intermediaires
Zones rurales
Zones touristiques
Transports - Routes
Transports - TGV
Transports - Intercités & TER
Transports - RER & Transiliens
Transports - Metro","Situation:

Indoor
Outdoor
Tous usages
Incar
Intrain
","Service:

DOWNLOAD
UPLOAD
WEB
VIDEO
VOIX-INTRA
VOIX-INTRA-INTER
SMS","Indicateur:

Taux de fichier reçu
Débit moyen
Taux de fichier envoyé
Taux d'accroche 5G
Chargement Web < 5s
Chargement Web < 10s
Diffusion réussie et de qualite parfaite
Diffusion réussie et de qualite correcte
Communications réussies
Communications réussies et de qualité parfaite
Réception SMS <10s

",Bouygues Telecom,Free Mobile,Orange,SFR,Volumétrie totale,Moyenne
2G/3G/4G/5G,Zones Touristiques,Indoor,VOIX,Communications réussies et sans perturbations audibles,0.8962655601659751,0.8155737704918032,0.9426229508196722,0.8524590163934426,1946,0.8766700924974307
2G/3G/4G/5G,Toutes zones d'habitation,Indoor,VOIX,Communications réussies et sans perturbations audibles,0.873618452666987,0.8470421871317464,0.909048067860509,0.8608490566037735,33778,0.8726389957960803
2G/3G/4G/5G,Zones rurales,Outdoor,VOIX,Communications réussies et sans perturbations audibles,0.8195157740278797,0.8038516405135521,0.8858773181169758,0.8095577746077033,11138,0.829771951876459
2G/3G/4G/5G,Zones intermediaires,Outdoor,VOIX,Communications réussies et sans perturbations audibles,0.9365853658536586,0.9185483870967742,0.9637096774193549,0.9280517380759903,9894,0.9367293309076208
2G/3G/4G/5G,Zones denses,Outdoor,VOIX,Communications réussies et sans perturbations audibles,0.9703484062268347,0.9411764705882353,0.9668630338733432,0.9476787030213707,10848,0.9564896755162242
2G/3G/4G/5G,Zones Touristiques,Outdoor,VOIX,Communications réussies et sans perturbations audibles,0.9256198347107438,0.8811475409836066,0.9588477366255144,0.8925619834710744,1942,0.9145211122554068
2G/3G/4G/5G,Toutes zones d'habitation,Outdoor,VOIX,Communications réussies et sans perturbations audibles,0.9086998087954111,0.8857748469147433,0.9387226019325948,0.8931099575271354,33822,0.9065696883685175
2G/3G/4G/5G,Zones rurales,Tous usages,VOIX,Communications réussies et sans perturbations audibles,0.7538376364014601,0.734641601272062,0.8228917731815092,0.7500401404654086,33358,0.7654462206012099
2G/3G/4G/5G,Zones intermediaires,Tous usages,VOIX,Communications réussies et sans perturbations audibles,0.9070771671589977,0.8794641824027261,0.9335555367216906,0.8958623829961642,29656,0.9039829549088406
2G/3G/4G/5G,Zones denses,Tous usages,VOIX,Communications réussies et sans perturbations audibles,0.9455554566598333,0.9008205103233345,0.9429646463168687,0.919911043251705,32518,0.9272609566141742
