"Profil/terminal:

2G/3G/4G
2G/3G/4G/5G
","
Lieu/strate:

Toutes zones d'habitation
Zones denses
Zones intermediaires
Zones rurales
Zones touristiques
Transports - Routes
Transports - TGV
Transports - Intercités & TER
Transports - RER & Transiliens
Transports - Metro","Situation:

Indoor
Outdoor
Tous usages
Incar
Intrain
","Service:

DOWNLOAD
UPLOAD
WEB
VIDEO
VOIX-INTRA
VOIX-INTRA-INTER
SMS","Indicateur:

Taux de fichier reçu
Débit moyen
Taux de fichier envoyé
Taux d'accroche 5G
Chargement Web < 5s
Chargement Web < 10s
Diffusion réussie et de qualite parfaite
Diffusion réussie et de qualite correcte
Communications réussies
Communications réussies et de qualité parfaite
Réception SMS <10s

",Bouygues Telecom,Precision statistique,Free Mobile,Precision statistique.1,Orange,Precision statistique.2,SFR,Precision statistique.3,Volumétrie totale,Moyenne,Precision statistique.4
2G/3G/4G/5G,Zones Touristiques,Outdoor,DL250,Débit DL250 (Mbs/s) > 30Mbs/s,0.7415254237288136,0.05585628002760168,0.7436974789915967,0.055467959075686045,0.8949579831932774,0.038953854865397014,0.7763713080168776,0.05304939051430198,949,0.7892518440463646,0.025948523998981985
2G/3G/4G/5G,Toutes zones d'habitation,Outdoor,DL250,Débit DL250 (Mbs/s) > 30Mbs/s,0.730695443645084,0.013464123734847898,0.7237093690248566,0.01354956678871751,0.8226577437858509,0.011573799197763303,0.7544407105136822,0.013070348885194125,16704,0.7579022988505747,0.006496026317044133
2G/3G/4G/5G,Zones rurales,Tous usages,DL250,Débit DL250 (Mbs/s) > 30Mbs/s,0.4518911419193228,0.018696587031068267,0.5161054172767203,0.01873959983537585,0.5747076035946295,0.018545648681168193,0.49266600970285024,0.0187955321107393,10902,0.5089022124697947,0.009384348787244317
2G/3G/4G/5G,Zones intermediaires,Tous usages,DL250,Débit DL250 (Mbs/s) > 30Mbs/s,0.7626016260162601,0.016814201640061463,0.775974025974026,0.016462981833464608,0.890422077922078,0.0123337519483871,0.778268710250577,0.016436035434811386,9842,0.8018592649221263,0.007874996178208273
2G/3G/4G/5G,Zones denses,Tous usages,DL250,Débit DL250 (Mbs/s) > 30Mbs/s,0.9177827380952381,0.010384674450467955,0.8041543026706232,0.014980380335345168,0.9195103857566765,0.010269383438761047,0.9059775573781622,0.011047961418986925,10761,0.88680566047864,0.005986270520858425
2G/3G/4G/5G,Zones Touristiques,Tous usages,DL250,Débit DL250 (Mbs/s) > 30Mbs/s,0.7342080900156673,0.039769246475176226,0.707983193277311,0.04084773620936265,0.865546218487395,0.030646736710379433,0.7726394355210439,0.03769252845310556,1901,0.7701511321072159,0.01891359897718281
2G/3G/4G/5G,Toutes zones d'habitation,Tous usages,DL250,Débit DL250 (Mbs/s) > 30Mbs/s,0.7096217994459249,0.009740122135211872,0.6963432122370937,0.00985254451282956,0.7953556533372105,0.00864525292033498,0.7258508213788979,0.009580824257911484,33406,0.7318130821279577,0.0047507558517736635
2G/3G/4G/5G,Zones rurales,Indoor,Video,Taux de diffusion réussies et de qualité parfaite,0.7926470588235294,0.030471697001242956,0.8477306002928258,0.026945172444243347,0.9033674963396779,0.0221584595779899,0.8316251830161054,0.028063905150036983,2729,0.8438988640527666,0.013617661558044065
2G/3G/4G/5G,Zones intermediaires,Indoor,Video,Taux de diffusion réussies et de qualité parfaite,0.9314845024469821,0.019998989800232323,0.939935064935065,0.018763988020441033,0.948051948051948,0.017525338530498206,0.939935064935065,0.018763988020441033,2461,0.9398618447785453,0.009393064939888875
2G/3G/4G/5G,Zones denses,Indoor,Video,Taux de diffusion réussies et de qualité parfaite,0.9658246656760773,0.013726318483686602,0.9421364985163204,0.017627283637095495,0.9643916913946587,0.013990348268562247,0.9538690476190477,0.015860322848431592,2693,0.9565540289639807,0.007699586483824666
2G/3G/4G/5G,Zones Touristiques,Indoor,Video,Taux de diffusion réussies et de qualité parfaite,0.9243697478991597,0.04750652091891014,0.8571428571428571,0.06287241983947006,0.9495798319327731,0.03931429355841399,0.9067796610169492,0.052459155123682315,475,0.9094736842105263,0.025804280735408216
2G/3G/4G/5G,Toutes zones d'habitation,Indoor,Video,Taux de diffusion réussies et de qualité parfaite,0.8968824940047961,0.013053801837219528,0.905831739961759,0.01251558837765665,0.9388145315487572,0.010270445387965834,0.9071325993298229,0.012446690299600462,8358,0.9121799473558267,0.006067950019308071
2G/3G/4G/5G,Zones rurales,Outdoor,Video,Taux de diffusion réussies et de qualité parfaite,0.8257686676427526,0.02844710321487932,0.8784773060029283,0.02450415253405888,0.931185944363104,0.018984645965509778,0.8696925329428989,0.02524720123540566,2732,0.876281112737921,0.012346829531128626
2G/3G/4G/5G,Zones intermediaires,Outdoor,Video,Taux de diffusion réussies et de qualité parfaite,0.9707317073170731,0.013321919830685746,0.9659090909090909,0.014330229091510587,0.983739837398374,0.009995881178799224,0.9675324675324676,0.013996618675061707,2462,0.9719740048740861,0.006519584118257054
2G/3G/4G/5G,Zones denses,Outdoor,Video,Taux de diffusion réussies et de qualité parfaite,0.9881129271916791,0.00818821601151121,0.9762611275964391,0.011493152378100722,0.9910979228486647,0.007091368975010891,0.986627043090639,0.008678382133622448,2694,0.9855233853006682,0.004510495464953361
2G/3G/4G/5G,Zones Touristiques,Outdoor,Video,Taux de diffusion réussies et de qualité parfaite,0.9491525423728814,0.0396385443002863,0.9243697478991597,0.04750652091891014,0.9663865546218487,0.03238281099902626,0.940677966101695,0.04262295639789266,474,0.9451476793248945,0.020498129844803883
2G/3G/4G/5G,Toutes zones d'habitation,Outdoor,Video,Taux de diffusion réussies et de qualité parfaite,0.9277166108185735,0.011104877481166916,0.9383365200764818,0.01030786105916,0.9679579148732664,0.007548621984406845,0.9401913875598086,0.010166534202408805,8362,0.9435541736426692,0.004946526356414136
2G/3G/4G/5G,Zones rurales,Tous usages,Video,Taux de diffusion réussies et de qualité parfaite,0.809207863233141,0.020860198008578263,0.863103953147877,0.01822878523035273,0.917276720351391,0.014608135197374214,0.8506588579795022,0.018901582668929936,5461,0.8600899883953438,0.009200603720836356
2G/3G/4G/5G,Zones intermediaires,Tous usages,Video,Taux de diffusion réussies et de qualité parfaite,0.9511081048820276,0.012061192943472599,0.952922077922078,0.011827366504097133,0.9658958927251611,0.01013900990700886,0.9537337662337663,0.011729955668019546,4923,0.9559179248263157,0.005734327219064271
